name,tier,trending,tag,composite_score,efficacy,safety,research,onset,cost,drug_interaction_inverse,description,dose,tips,cycle
Dietary Nitrate / Beetroot,t2,False,Endurance · Blood pressure,66,3,4,3,4,3,3,"Boosts exercise endurance and naturally lowers blood pressure via nitric oxide production. A 2025 review of 20 studies (2,672 people) found it meaningfully improves exercise performance. Caution: avoid antibacterial mouthwash, which kills the oral bacteria needed to convert nitrate to active nitric oxide. If on blood pressure medication, monitor for additive hypotension.","400–800 mg dietary nitrate (≈300–600 mL concentrated beetroot juice), 2–3 hrs before exercise",Take 2–3 hours before exercise for peak nitric oxide levels. Avoid antibacterial mouthwash — it destroys the oral bacteria needed to convert nitrate. Do not brush teeth immediately after.,
Choline,t2,False,Cognition · Liver · Methylation,66,3,4,3,2,4,4,"An essential nutrient that 90% of Americans under-consume. Critical for brain cell signaling, liver fat metabolism, cell membrane integrity, and methylation pathways. Pregnant women need 450 mg/day for fetal brain development — and many don't get enough. Eggs and liver are the best dietary sources. The tolerable upper limit is 3,500 mg/day; high doses can cause fishy body odour.",250–550 mg/day; 450 mg/day during pregnancy. CDP-choline and alpha-GPC preferred for brain effects; bitartrate for general use.,Take with food to minimise any stomach upset. Take in the morning or with lunch — can be mildly stimulating. High doses (above 3.5 g/day) may cause fishy body odour.,
Phosphatidylcholine,t2,False,Liver · Cell membrane · Cognition,66,3,5,3,2,2,4,The most abundant phospholipid in every cell membrane in your body. A 2024 review of 9 trials found it significantly improves liver function markers in fatty liver disease (NAFLD). Also delivers choline to support brain signaling and methylation — a nutrient 90% of Americans under-consume. Sunflower-derived form preferred for soy-allergic individuals. Very safe at standard doses.,"900–1,800 mg/day with meals; sunflower lecithin preferred over soy for allergy-sensitive individuals","Take with meals, split into 2–3 doses through the day. Choose sunflower-derived if you have a soy allergy. No major drug interactions. High doses may cause mild loose stools initially.",
Wobenzym (systemic enzymes),t2,False,Inflammation · Recovery · OA,66,3,4,3,3,3,4,A combination of digestive enzymes and plant compounds used widely in European sports medicine. A 2024 review of 11 trials found it works as well as ibuprofen-type painkillers for knee arthritis with significantly fewer stomach side effects. Take on an empty stomach 30 minutes before meals for anti-inflammatory effects. Well tolerated overall.,"2–3 tablets, three times daily (6–9 tablets/day total) on an empty stomach (≥30 min before meals or ≥2 hours after). Sustained use 4–8 weeks for inflammation outcomes.","Take on an empty stomach, 30 min before meals — food destroys the enzyme activity. Swallow whole with a large glass of water. Do not chew the tablets.",
Sulforaphane (broccoli sprout extract),t2,False,Detoxification · Cancer prevention · Autism,66,3,4,3,3,3,4,A powerful compound from broccoli sprouts that activates your body's natural detox and antioxidant pathways. 2024 trials found it significantly helps clear air pollution toxins from the body. A promising trial also showed improved social behavior in autism. Choose products with active myrosinase enzyme for best conversion. Generally safe.,30–60 mg sulforaphane/day (equivalent to ~100g broccoli sprouts); stabilised myrosinase-active forms preferred,Take with water and a small meal. Avoid taking with hot tea — heat can inactivate the myrosinase enzyme needed for conversion. Morning is convenient.,
Omega-3 DHA-dominant,t2,False,Brain health · Pregnancy · Cognition,66,3,4,3,3,3,4,"Standard fish oil is EPA-dominant, but DHA is the primary structural fat in the brain and retina. DHA-focused formulas are better supported for pregnancy, infant brain development, and age-related cognitive decline. Especially important during the third trimester when fetal brain growth is fastest. Generally safe with the same profile as standard fish oil.","1,000–2,000 mg DHA/day; especially important during pregnancy and for older adults",Take with a fatty meal for best absorption. Evening with dinner is a good routine. Store in the fridge after opening. Avoid fish oil if allergic to fish — use algae-based DHA.,
American ginseng (Panax quinquefolius),t2,False,Immunity · Blood sugar · Cognition,66,3,4,3,3,3,4,Distinct from Asian ginseng with a different ginsenoside profile and milder stimulating effects. Clinically shown to reduce post-meal blood sugar spikes by up to 20 percent when taken 40 minutes before eating. Also reduces cold frequency and duration in older adults. The Cereboost extract improved working memory in healthy adults within hours. Generally well tolerated.,200–400 mg/day standardised extract; 3 g before meals for blood sugar management,Take 40 min before meals for blood sugar control. Avoid in the evening as it may disturb sleep. Keep away from stimulants and blood thinners.,
Senna leaf (Cassia senna),t2,False,Constipation · Laxative,66,3,3,3,4,5,3,"An FDA-approved over-the-counter stimulant laxative that works within 6 to 12 hours. Effective for acute constipation but not recommended for long-term use. Chronic use can lead to dependency where the bowel stops functioning normally without it and can cause dangerous electrolyte imbalances, particularly low potassium. Maximum recommended duration is 1 to 2 weeks. Use osmotic laxatives or fibre for chronic constipation instead.",15–30 mg sennosides at bedtime; maximum 1–2 weeks; chronic use causes dependency and electrolyte loss,Take at bedtime with a full glass of water — works in 6–12 hours. Use only for acute constipation (1–2 weeks max). Eat potassium-rich foods if using repeatedly.,
L-Cysteine,t2,False,Hair · Skin · Glutathione · Detox,66,3,4,3,2,4,4,"The conditionally essential amino acid serving as the rate-limiting substrate for glutathione synthesis. While NAC is better absorbed and more studied, L-cysteine offers a cost-effective alternative with comparable antioxidant and hepatoprotective benefits at adequate doses. RCTs at 400–800 mg/day show improvements in hair shaft diameter and tensile strength. Also used in mucolytic and liver-protective protocols. Dietary cysteine often falls short during oxidative stress, illness, or intense training.","500–1,500 mg/day in divided doses with food",Synergistic with glycine (GlyNAC stack); add B6 and zinc to support the transsulfuration pathway; not dose-equivalent to NAC,
Bacillus subtilis (spore probiotic),t2,False,Probiotic · Gut · Immune,66,3,4,3,3,3,4,"A spore-forming soil probiotic with excellent gastric survival (spores resist stomach acid and heat) and a distinct mechanism from lactobacilli. B. subtilis DE111, HU58, and R0179 strains have RCT evidence for improved bowel regularity, reduced bloating, and immune modulation. Spore probiotics transiently colonise — they don't establish permanent residency but produce bioactive metabolites (bacteriocins, nattokinase-like enzymes) and crowd out pathogens during transit. Generally well-tolerated; rare bacteraemia concerns in severely immunocompromised patients.",1–5 billion CFU (spore-based) daily,Do not require refrigeration (key advantage); take with meals; particularly useful when Lactobacillus/Bifido probiotics have failed; 4-8 weeks to assess,
Fenugreek seed extract (Testofen / standardised),t2,False,Libido · Blood sugar · Lactation,66,3,4,3,3,4,3,"Trigonella foenum-graecum seed extract with dual standardised uses: high-saponin fractions (Testofen, 50% Fenuside saponins) have modest human evidence for libido and free testosterone in ageing men; high-galactomannan fractions improve postprandial glucose and lactation. Contains 4-hydroxyisoleucine which enhances insulin secretion. Maple-syrup body odour is a common side effect due to sotolon. Avoid in pregnancy (uterine-stimulating). Evidence is stronger than tribulus for testosterone-adjacent endpoints.",300–600 mg standardised extract daily (Testofen or similar saponin-std),Maple-syrup smell in sweat and urine is harmless; avoid in pregnancy; separate from hypoglycaemic drugs (additive effect); lactation dose differs — consult specialist,
Curcumin (bioavailable form),t2,False,Inflammation · OA · Metabolic,65,3,4,4,2,3,3,A powerful natural anti-inflammatory that helps with joint pain and metabolic health. A 2025 analysis of 17 trials found all bioavailable turmeric forms significantly reduce knee arthritis pain. A 2024 review of 103 trials confirms it lowers inflammation markers and blood sugar. Must use a bioavailable form. Caution: mild anticoagulant effect — avoid at high doses if on warfarin or chemotherapy.,"250–500 mg/day curcuminoids (phytosome, liposomal, or + piperine only); plain turmeric has negligible absorption",Take with a fatty meal to maximise absorption. Avoid taking on an empty stomach. Space 2 hours from blood-thinning medications. Avoid grapefruit juice.,Safe for continuous daily use. No cycling needed. Long-term studies up to 12 months show good safety. Take breaks if digestive discomfort occurs.
Tributyrin / Butyrate,t2,False,Gut barrier · Microbiome · Inflammation,65,3,4,2,3,3,5,Butyrate is the main fuel source for the cells lining your colon and is critical for maintaining gut barrier health. The tributyrin form survives stomach acid better than sodium butyrate and releases butyrate directly in the colon. 2024 trials show improved gut lining integrity. Generally safe but can cause mild digestive changes initially.,300–600 mg/day tributyrin; or 2–4 g/day sodium butyrate,Take with meals. Start at the lower end of the dose range for 1–2 weeks. Sodium butyrate can have a strong odour — tributyrin capsules are odourless.,
